Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S03432,Megan Morrison,2016-07-30,Grade 5,623-284-1967
S03433,Victoria Garza,2006-09-20,Grade 5,359-614-3973
S03434,priscilla rodriguez,2006-10-20,Grade 1,020-861-9467
S03435,Brian Diaz,2016-12-29,Grade 4,247-242-7565
S03436,Raymond Russell,2006-08-21,Grade 2,923-735-5865
S03437,Lindsey Weber,2008-01-03,Grade 4,685-970-5262
S03438,Brenda Simpson,2009-12-23,Grade 5,295-204-1417
S03439,Lucas Daniels,2012-02-28,Grade 4,399-704-9584
S03440,Bobby Mooney,2013-03-04,Grade 3,953-987-7147
S03441,Nicholas Taylor,2014-10-06,Grade 4,238-564-5244
S03442,Nicholas Flores,2006-11-02,Grade 5,466-221-8046
S03443,karen patton,2010-06-18,Grade 1,428-853-7078
S03444,Andrea Wright,2012-12-24,Grade 4,210-442-7441
S03445,Jesus Phillips,2008-10-14,Grade 1,410-306-5254
S03446,Katherine Smith,2013-08-07,Grade 1,854-642-7493
S03447,Daniel Lopez,2014-11-12,Grade 4,690-879-7881
S03448,Joan Jensen,2014-09-18,Grade 2,958-762-9597
S03449,Megan Gibson,2010-06-20,Grade 1,537-793-8017
S03450,Mark Myers,2018-04-19,Grade 4,764-050-2222
S03451,Antonio Brown,2015-09-20,Grade 2,274-892-2645
S03452,Amanda Hubbard,2013-01-17,Grade 5,unknown
S03453,Michael Weiss,2016-12-20,Grade 1,556-909-2903
S03454,Sean Dean,2013-11-05,Grade 3,904-490-1730
S03455,Timothy Woodard,2017-03-18,Grade 4,838-883-3053
S03456,Chelsea Brown,2017-10-14,Grade 1,966-222-6712
S03457,jonathan washington,2012-03-15,Grade 5,580-857-2175
S03458,Garrett Kim,2017-04-26,Grade 5,542-876-4920
S03459,Andrew Ewing,2018-07-30,Grade 5,481-575-8268
S03460,Emily Marsh,2018-05-22,Grade 3,064-345-4688
S03461,Pam Miller,2015-02-09,Grade 2,912-532-0339
S03462,Steven Berger,2011-02-25,Grade 4,619-205-8967
S03463,Joseph Bradshaw,2014-04-25,Grade 2,485-521-6995
S03464,Lindsey Parker,2014-06-02,Grade 3,771-964-7776
S03465,Jason Reese,2015-08-31,Grade 5,278-031-7107
S03466,keith allen,2011-11-28,Grade 4,257-333-1763
S03467,Alyssa Oliver,2012-03-11,Grade 5,255-542-5239
S03468,Brandon Gomez,2018-11-23,Grade 2,251-729-9295
S03469,Renee Perez,2018-06-14,Grade 3,389-627-1739
S03470,Phillip Torres,2010-05-11,Grade 3,725-720-3757
S03471,Justin Elliott,2015-12-15,Grade 4,977-649-7518
S03472,Noah Wilson,2011-07-11,Grade 2,796-669-8013
S03473,Scott Simmons,2010-07-13,Grade 5,399-957-7448
S03474,Michelle Glenn,2010-11-25,Grade 1,277-767-7766
S03475,Justin Alexander,2014-06-06,Grade 3,460-744-7281
S03476,Natalie Tran,2013-12-09,Grade 3,859-479-6590
S03477,Jacob Waters,2012-12-17,Grade 3,561-750-1669
S03478,Gail Weeks,2017-03-27,Grade 5,217-901-9911
S03479,Richard Park,2008-10-27,Grade 4,unknown
S03480,kevin montgomery,2017-12-08,Grade 4,916-799-1315
S03481,david khan,2012-10-14,Grade 2,181-021-7368
S03482,Ryan Mccoy,2009-07-15,Grade 5,441-607-9843
S03483,Melissa Garza,2014-10-17,Grade 4,508-018-9010
S03484,Kenneth Gallegos,2017-12-29,Grade 1,344-451-2803
S03485,sophia deleon,2016-09-07,Grade 4,467-147-7225
S03486,Marcus Johnston,2010-10-19,Grade 1,unknown
S03487,robert lowery,2012-12-05,Grade 5,900-808-3656
S03488,Jaime Burke,2018-02-13,Grade 1,832-897-2683
S03489,Norman Payne,2015-01-30,Grade 5,680-080-1864
S03490,Jeffrey Gomez,2015-05-16,Grade 3,335-806-4456
S03491,Danielle Torres,2010-08-03,Grade 5,594-490-9983
S03492,Robert Ramos,2016-10-17,Grade 5,691-077-9743
S03493,Meghan Martinez,2009-09-20,Grade 2,269-463-7093
S03494,Jeffrey Robinson,2016-04-01,Grade 5,313-818-8561
S03495,Justin Jarvis,2008-07-11,Grade 3,275-993-4201
S03496,anna becker,2016-04-18,Grade 5,525-038-5898
S03497,Roberta Bush,2012-12-20,Grade 3,797-766-5422
S03498,Brenda Gonzalez,2008-07-01,Grade 4,493-266-9079
S03499,Michael Wu,2013-04-17,Grade 2,311-471-9181
S03500,Rhonda Klein,2016-07-07,Grade 2,773-897-5594
S03501,Jeremy Gonzalez,2013-01-16,Grade 3,260-062-0568
S03502,Elaine Smith,2007-04-01,Grade 2,644-651-9942
S03503,Rebecca Watson,2013-12-21,Grade 2,413-994-9635
S03504,Christopher Thompson,2018-11-08,Grade 1,353-504-9891
S03505,Amanda Cervantes,2017-06-18,Grade 5,771-506-0354
S03506,Ashley Fischer,2012-12-11,Grade 3,254-182-0413
S03507,Cynthia David,2006-12-30,Grade 1,445-627-7880
S03508,Mark Galloway,2007-05-02,Grade 2,975-415-1837
S03509,Stephen Pierce,2016-05-22,Grade 1,232-264-1435
S03510,adriana butler,2016-07-30,Grade 4,663-036-6922
S03511,Karen Vaughan,2013-10-29,Grade 1,985-297-2945
S03512,Christopher Brown,2015-06-25,Grade 5,unknown
S03513,David Thompson,2008-07-27,Grade 2,824-867-8041
S03514,Brandon White,2014-08-26,Grade 1,291-878-4026
S03515,Hannah Lewis,2018-07-22,Grade 5,545-204-9428
S03516,Gary Rodriguez,2007-01-08,Grade 3,784-456-7467
S03517,Amber Brooks,2016-09-22,Grade 1,296-550-8087
S03518,Christopher Good,2010-10-12,Grade 4,692-987-5830
S03519,Kevin Solis,2006-12-15,Grade 4,590-943-4577
S03520,spencer baker,2007-07-22,Grade 1,150-143-6265
S03521,Martin Taylor,2018-03-26,Grade 1,474-460-6135
S03522,David Willis,2011-06-14,Grade 3,908-789-5230
S03523,jesse perry,2015-05-16,Grade 3,485-765-4748
S03524,Sergio Klein,2007-02-18,Grade 5,668-779-8601
S03525,Jessica Butler,2009-01-26,Grade 1,071-851-6649
S03526,James Smith,2010-11-07,Grade 4,575-181-5094
S03527,Robert Morgan,2015-11-25,Grade 5,318-104-1785
S03528,Jeffrey Whitehead,2011-01-28,Grade 5,unknown
S03529,Frank Carter,2008-12-23,Grade 5,715-611-5008
S03530,Rebecca Christian,2011-09-06,Grade 2,919-226-6577
S03531,Miranda Myers,2016-09-19,Grade 1,411-241-6669
S03532,Susan Rivas,2018-02-06,Grade 3,273-787-1650
S03533,Ashley Williams,2016-02-01,Grade 1,797-379-2947
S03534,Seth Rosales,2012-03-12,Grade 5,926-513-2708
S03535,Jennifer Webb,2007-05-04,Grade 5,702-339-8602
S03536,Robert Clarke,2011-08-01,Grade 1,854-582-7926
S03537,Gregory James,2018-12-23,Grade 3,472-441-7487
S03538,Tiffany David,2008-04-15,Grade 5,460-222-0379
S03539,Micheal Brown,2018-09-04,Grade 5,543-043-2297
S03540,miss felicia bryant,2017-09-17,Grade 2,497-831-6789
S03541,Dennis Rojas,2009-09-24,Grade 2,403-145-6988
S03542,Scott Valenzuela,2013-07-08,Grade 4,024-731-6179
S03543,Kelly Williams,2015-03-28,Grade 2,272-690-9854
S03544,Kirk Pugh,2014-02-16,Grade 4,518-612-0643
S03545,Samantha Cortez,2008-01-23,Grade 5,318-461-3305
S03546,Jessica Jones,2012-10-09,Grade 1,184-921-6772
S03547,Patricia Nelson,2014-08-15,Grade 4,645-634-6396
S03548,Brittney Kim,2007-11-12,Grade 1,311-349-4069
S03549,Alexander Gibson,2013-12-27,Grade 3,524-519-4394
S03550,Jesse Munoz,2019-03-02,Grade 2,736-869-4335
S03551,Samantha Ross,2008-12-05,Grade 1,423-654-9040
S03552,James Anthony,2018-02-16,Grade 3,751-221-1073
S03553,nathan boone,2017-12-26,Grade 4,944-464-1060
S03554,Jeffrey Kaufman,2010-05-02,Grade 3,562-981-8288
S03555,Joshua White,2008-05-19,Grade 3,425-953-0930
S03556,Tina Navarro,2011-10-19,Grade 4,575-215-2670
S03557,Devin Wagner,2007-09-10,Grade 4,470-531-0635
S03558,Michael Torres,2010-06-28,Grade 1,529-955-9552
S03559,Rebecca Atkinson,2016-07-09,Grade 1,240-539-0547
S03560,John Stephenson,2014-07-06,Grade 1,400-334-7027
S03561,Rebecca Archer,2014-01-30,Grade 3,550-712-7155
S03562,Mark Pineda,2010-07-29,Grade 2,547-401-9837
S03563,Sarah Arellano,2013-10-02,Grade 2,795-700-1520
S03564,dana garcia,2008-03-25,Grade 2,254-245-6775
S03565,Benjamin Kelly,2011-08-05,Grade 2,185-099-3250
S03566,Evelyn Thomas,2009-05-20,Grade 4,366-102-5269
S03567,melanie owens,2015-02-05,Grade 4,470-238-1400
S03568,Jessica White,2012-04-01,Grade 3,532-993-4345
S03569,alexa flynn,2009-02-08,Grade 3,954-668-3641
S03570,Crystal Alexander,2012-10-28,Grade 4,768-346-7780
S03571,Erika Jones,2012-12-10,Grade 5,250-313-2470
S03572,Kristen Greer,2013-03-15,Grade 5,332-360-1538
S03573,Darrell Stone,2008-04-24,Grade 4,200-092-7423
S03574,Brandon Ayers,2013-03-11,Grade 3,unknown
S03575,David Adams,2015-04-06,Grade 3,538-220-7743
S03576,Belinda Ruiz,2014-08-21,Grade 3,190-279-2703
S03577,Jennifer Murphy,2016-03-18,Grade 3,306-517-7128
S03578,Anthony Palmer,2012-07-01,Grade 5,461-966-2309
S03579,Jeremy Greene,2015-01-24,Grade 3,663-725-0830
S03580,joseph lee,2011-09-23,Grade 3,790-731-7184
S03581,William Kemp,2010-12-16,Grade 1,845-958-0953
S03582,Devin Hampton,2011-03-17,Grade 2,865-524-5161
S03583,Sarah Gonzalez,2009-02-27,Grade 5,390-276-5667
S03584,Jennifer Young,2016-05-14,Grade 5,687-234-4191
S03585,Dana Huang,2013-07-20,Grade 4,376-643-4489
S03586,Emily Terry,2010-01-11,Grade 2,585-798-8028
S03587,Mark Bailey,2013-09-28,Grade 5,640-320-4611
S03588,Andrea Johnson,2016-03-31,Grade 3,494-938-3880
S03589,Ryan Wheeler,2012-07-29,Grade 5,577-195-2884
S03590,Jared Castro,2018-03-11,Grade 4,726-377-4113
S03591,Jessica Turner,2006-09-01,Grade 4,309-263-1166
S03592,patrick adams,2012-06-30,Grade 2,393-699-7942
S03593,Christina Mcmillan,2007-06-16,Grade 5,597-083-5282
S03594,Sandra Riggs,2015-04-17,Grade 1,923-389-3815
S03595,Cynthia Serrano,2009-01-07,Grade 2,818-477-9128
S03596,Brian Woods,2017-10-06,Grade 3,710-473-7751
S03597,Ian Barr,2013-10-27,Grade 3,536-686-6734
S03598,Jennifer Sullivan,2017-11-24,Grade 2,731-548-3633
S03599,tammy smith,2008-08-29,Grade 5,unknown
S03600,Maria Fischer,2008-06-03,Grade 2,277-963-3529
S03601,Nicholas Saunders,2011-05-31,Grade 3,375-010-4721
S03602,Carol Hampton,2018-01-26,Grade 5,330-351-2830
S03603,William Thomas,2019-01-27,Grade 4,849-786-2620
S03604,Jennifer Bailey,2014-01-01,Grade 2,983-689-1335
S03605,tricia valentine,2015-07-09,Grade 2,308-515-5447
S03606,Michael Peters,2012-11-11,Grade 4,923-931-0326
S03607,andrew raymond,2009-04-06,Grade 2,623-879-0182
S03608,Ashley Moore,2016-03-12,Grade 3,850-354-4316
S03609,Andrea Smith,2006-10-13,Grade 1,unknown
S03610,Jenny Simpson,2010-05-21,Grade 3,482-754-1151
S03611,Edwin Moses,2018-06-10,Grade 4,680-682-6950
S03612,Michael Green,2010-05-14,Grade 1,254-315-0540
S03613,Gregory Lee,2015-01-14,Grade 3,314-622-2472
S03614,Annette Mcdonald,2008-04-18,Grade 5,634-632-2433
S03615,kevin hansen,2012-06-16,Grade 4,483-813-7224
S03616,Kevin Romero,2016-09-28,Grade 1,unknown
S03617,Jessica Harper,2007-12-20,Grade 2,649-305-8137
S03618,Laura Rodriguez,2009-08-07,Grade 5,248-287-2939
S03619,Peter Williams,2009-03-29,Grade 1,903-375-8437
S03620,Jocelyn Hickman DDS,2012-02-11,Grade 3,018-646-2632
S03621,Nancy Casey,2014-09-25,Grade 5,264-420-5656
S03622,Kenneth Flynn,2017-09-23,Grade 2,389-537-7052
S03623,jeremy allen,2006-05-18,Grade 3,565-646-9893
S03624,Jesse Bailey,2012-08-13,Grade 3,393-594-1466
S03625,Matthew Martinez,2007-06-30,Grade 5,666-015-9341
S03626,Michael Moyer,2013-02-26,Grade 1,612-039-4084
S03627,William Mccarthy,2016-12-06,Grade 2,252-665-7633
S03628,Katie Sharp,2007-06-09,Grade 4,394-650-4719
S03629,mr. jacob salazar dds,2006-05-03,Grade 3,729-241-7874
S03630,Michelle Lopez,2015-10-19,Grade 5,379-450-4987
S03631,steven williams,2008-03-27,Grade 2,487-044-9000
S03632,Kelly Choi,2014-01-14,Grade 2,727-968-5705
S03633,Susan Ray,2010-02-25,Grade 1,unknown
S03634,kerry mathews,2015-02-07,Grade 5,409-427-5129
S03635,Barbara Johnson,2014-01-19,Grade 4,284-332-8069
S03636,Sarah Smith,2017-09-23,Grade 2,676-322-0750
S03637,logan thomas,2012-11-26,Grade 4,598-277-1889
S03638,Robert Walters,2007-12-04,Grade 4,814-651-5664
S03639,keith weaver,2008-08-12,Grade 1,276-822-7136
S03640,Gregory Weaver,2011-05-23,Grade 3,127-175-9070
S03641,Donna Johnson,2013-06-20,Grade 2,349-959-6478
S03642,Sandra Logan,2014-07-15,Grade 2,478-290-1776
S03643,Dr. Sarah Mata,2012-08-09,Grade 1,372-325-5480
S03644,Justin Robinson,2009-09-15,Grade 3,unknown
S03645,John Wilson,2012-12-08,Grade 3,234-756-7355
S03646,Robert Jordan,2009-02-20,Grade 2,348-755-6188
S03647,Michelle Johnson,2016-12-16,Grade 5,988-903-8792
S03648,Sandra Rivera,2018-06-14,Grade 1,750-476-0612
S03649,jay yang,2008-06-22,Grade 3,381-549-8800
S03650,Michael Garza,2013-10-18,Grade 1,653-971-4551
S03651,Gabrielle Carrillo,2013-12-06,Grade 1,985-618-6203
S03652,Jo Poole,2018-12-29,Grade 1,671-238-4083
S03653,Laura Sanchez,2011-04-11,Grade 3,542-340-1588
S03654,Anne Banks,2008-04-19,Grade 2,373-669-1159
S03655,Brandon Brown,2008-08-19,Grade 4,221-459-3173
S03656,Gabrielle Williams,2007-02-21,Grade 5,715-258-8543
S03657,Kari Murphy,2011-05-24,Grade 5,589-704-6840
S03658,Yolanda Rojas,2015-05-01,Grade 2,903-408-5981
S03659,Patrick Horton,2017-07-13,Grade 5,546-011-9314
S03660,Jessica Nguyen,2012-01-20,Grade 5,957-453-8933
S03661,Travis Sanchez,2009-06-17,Grade 1,780-842-2157
S03662,Katherine Mcdonald,2017-07-25,Grade 2,985-945-2781
S03663,Brett Brown,2016-06-03,Grade 5,923-653-9450
S03664,Jaime Munoz,2017-01-28,Grade 2,810-848-8895
S03665,Mark Fuller,2011-01-01,Grade 3,006-488-8702
S03666,Renee Kerr,2006-06-15,Grade 1,464-790-5687
S03667,Jeffrey Mann,2009-03-22,Grade 2,600-185-2966
S03668,James Owens,2010-10-02,Grade 5,012-647-4111
S03669,Maria Baker,2010-06-25,Grade 5,unknown
S03670,micheal lewis,2012-02-15,Grade 2,666-979-1419
S03671,Tanner Lowe,2017-04-02,Grade 2,428-945-3433
S03672,michael sweeney,2016-08-27,Grade 3,568-610-0715
S03673,Kevin Hayes,2006-10-05,Grade 3,759-645-9834
S03674,Anna Hudson,2014-03-28,Grade 3,179-886-2629
S03675,antonio hale,2011-12-13,Grade 3,218-647-8953
S03676,meagan ortiz,2017-01-01,Grade 5,563-391-2164
S03677,Michael Guerrero,2012-01-31,Grade 3,397-288-8525
S03678,Joshua Oconnor,2007-04-03,Grade 5,656-241-8047
S03679,Brent Wilson,2016-08-24,Grade 5,965-558-0497
S03680,Amanda Mays,2008-06-17,Grade 3,839-580-7255
S03681,Tyler Boone,2014-06-01,Grade 5,861-466-5963
S03682,Patricia Odom,2011-09-25,Grade 2,056-157-2536
S03683,Tina Wilson,2006-03-24,Grade 2,414-829-9927
S03684,Paul Cain,2009-08-20,Grade 4,247-929-9579
S03685,Chelsea Lee,2006-08-17,Grade 4,451-304-3626
S03686,Matthew Sanchez,2007-10-22,Grade 4,652-004-6512
S03687,Rhonda Phillips,2018-03-13,Grade 5,unknown
S03688,michael page,2010-08-05,Grade 1,115-277-1245
S03689,Adam Morris,2010-02-13,Grade 5,852-284-5840
S03690,Tracy Glenn,2015-09-12,Grade 1,unknown
S03691,Calvin Wright,2011-01-02,Grade 5,939-595-3721
S03692,lorraine rodriguez,2011-06-04,Grade 4,253-249-3532
S03693,Roger Henderson,2010-06-23,Grade 5,750-654-8474
S03694,Mark Elliott,2018-05-05,Grade 1,760-323-9817
S03695,Matthew Lowery,2017-08-11,Grade 3,815-976-1317
S03696,jeremiah smith,2011-06-05,Grade 2,488-892-7580
S03697,Cole Short,2010-01-10,Grade 3,683-841-3788
S03698,Ashley Livingston,2008-01-22,Grade 1,332-695-2246
S03699,Tracey Lopez,2018-04-29,Grade 4,983-795-0389
S03700,Michael Wood,2016-04-21,Grade 1,329-322-2080
S03701,wendy walters,2007-02-15,Grade 2,434-905-0717
S03702,Jacqueline Wiley,2009-06-28,Grade 5,336-502-2896
S03703,Michelle Lowery,2007-05-01,Grade 4,963-533-9915
S03704,Victoria Rasmussen,2017-12-18,Grade 3,589-033-3944
S03705,Christina Patton,2011-09-28,Grade 2,489-914-3014
S03706,Maria Hendrix,2015-11-11,Grade 2,679-216-6204
S03707,Roy Brown,2017-04-04,Grade 2,713-581-1869
S03708,Jordan Rowland,2017-01-23,Grade 1,286-684-6793
S03709,Douglas Brown,2012-12-13,Grade 4,598-259-1938
S03710,Anthony Herman,2017-04-05,Grade 1,775-864-8313
S03711,Andrew Kennedy,2017-09-06,Grade 3,164-313-6777
S03712,dana morris,2016-01-04,Grade 3,207-925-2493
S03713,Jean Moore,2016-12-02,Grade 5,037-154-2532
S03714,Jennifer Gibson,2006-07-15,Grade 2,375-812-3868
S03715,gary myers,2011-01-24,Grade 4,428-127-9315
S03716,Jasmine Jackson,2006-10-27,Grade 1,751-337-6880
S03717,Joanna Hensley,2012-10-31,Grade 4,979-517-2367
S03718,Donald House,2007-08-04,Grade 5,995-782-1864
S03719,mark ramirez,2018-01-17,Grade 2,408-107-3372
S03720,Anna King MD,2012-11-06,Grade 1,718-861-9288
S03721,Christine Jordan,2014-11-02,Grade 2,736-628-0916
S03722,Danielle Warren,2018-01-24,Grade 4,628-964-8608
S03723,Roberto Wise,2012-03-14,Grade 5,887-644-3867
S03724,Vincent Peterson,2008-09-29,Grade 1,498-486-4432
S03725,Shannon Collins,2017-11-16,Grade 5,007-854-7779
S03726,Alison Walker,2014-10-01,Grade 5,692-712-9267
S03727,Raymond Webster,2018-12-16,Grade 2,251-975-7449
S03728,Richard Reyes,2007-12-21,Grade 5,038-030-4998
S03729,chad phillips,2010-06-07,Grade 1,542-686-8731
S03730,Denise Thompson,2014-04-21,Grade 2,626-658-7581
S03731,Mr. Benjamin Brooks,2007-09-22,Grade 3,967-469-5716
S03732,kimberly gonzalez,2017-05-18,Grade 3,887-665-4970
S03733,Tyler Palmer,2013-04-09,Grade 5,665-960-7072
S03734,joshua gallagher,2011-05-02,Grade 3,284-318-1900
S03735,Amber Gordon,2017-12-08,Grade 1,890-033-7176
S03736,Shelly Franco,2007-04-16,Grade 4,110-517-1477
S03737,Laura Leonard,2013-02-09,Grade 5,571-095-6505
S03738,Debra Haynes,2014-12-27,Grade 1,566-779-2325
S03739,James Collins,2007-08-22,Grade 3,813-762-3536
S03740,Christopher Moon,2011-12-05,Grade 5,779-298-6530
S03741,Andrew Hanson,2015-11-05,Grade 4,697-708-6337
S03742,Michael Garcia,2014-08-25,Grade 1,429-814-8139
S03743,Renee Thornton,2011-12-16,Grade 1,unknown
S03744,Daniel Ruiz,2007-10-23,Grade 5,236-900-7728
S03745,Alexandra Clark,2018-10-14,Grade 1,799-374-1214
S03746,Valerie Johnson,2015-03-02,Grade 3,unknown
S03747,Shane Lee,2012-04-22,Grade 2,303-982-2577
S03748,Christie Jackson,2011-11-01,Grade 3,309-861-4808
S03749,Yvonne Barber,2014-10-21,Grade 2,602-379-5772
S03750,Renee Fields,2017-03-12,Grade 4,296-772-7096
S03751,Joseph Smith,2012-02-23,Grade 5,927-492-6948
S03752,Michael York,2008-04-01,Grade 1,968-640-4622
S03753,Dr. Kristina Baldwin,2009-11-23,Grade 5,294-210-6535
S03754,Mr. Jeremy Wall,2014-09-23,Grade 3,449-999-1184
S03755,David Sanchez,2015-12-25,Grade 5,unknown
S03756,Shane Willis,2015-12-16,Grade 3,251-481-6205
S03757,Stephanie Butler,2017-01-15,Grade 2,546-356-1125
S03758,Cory West,2019-01-20,Grade 3,317-039-7233
S03759,Angela Roy,2018-08-17,Grade 4,149-981-2968
S03760,Natalie Miller,2017-09-26,Grade 3,234-401-0572
S03761,Rhonda Cain,2007-06-26,Grade 4,700-407-7518
S03762,Deborah Watkins,2012-03-30,Grade 1,955-789-6212
S03763,laura robertson dds,2018-01-18,Grade 4,203-428-0211
S03764,Terry Camacho,2018-01-26,Grade 1,467-201-0358
S03765,Carolyn Nunez,2015-01-22,Grade 1,888-301-9748
S03766,Chris Lee,2008-05-18,Grade 5,265-865-0099
S03767,melissa carrillo,2016-08-23,Grade 3,788-279-0581
S03768,Vicki Arroyo,2009-06-26,Grade 5,043-105-1993
S03769,Eric Lawson,2012-04-18,Grade 1,969-982-5364
S03770,Kyle Freeman,2016-11-09,Grade 3,405-371-9294
S03771,Tracy Richards,2010-03-16,Grade 3,139-268-6387
S03772,Kimberly Johnson,2009-01-01,Grade 4,401-767-8058
S03773,John Nelson,2013-02-18,Grade 5,269-241-3508
S03774,Angela Lopez,2016-06-11,Grade 3,935-851-4863
S03775,Bryan James,2013-09-05,Grade 2,390-907-4730
S03776,Lori Morris,2013-11-03,Grade 2,112-036-7131
S03777,shawn horne,2006-12-30,Grade 2,514-865-1400
S03778,David Brady,2019-03-07,Grade 5,575-990-8235
S03779,Robert Golden,2012-07-08,Grade 1,919-907-6689
S03780,Johnny Cummings,2013-08-24,Grade 5,unknown
S03781,Nicole Elliott,2006-09-24,Grade 5,836-416-2505
S03782,Mrs. Sheri Lindsey,2011-01-05,Grade 3,440-939-4133
S03783,Kimberly Raymond,2008-01-10,Grade 3,496-177-3093
S03784,Robin Simmons,2013-11-16,Grade 5,367-409-1148
S03785,Daniel Snyder,2013-08-09,Grade 3,216-581-8377
S03786,Bryan Larson,2016-07-23,Grade 5,300-354-7739
S03787,Jessica Carter,2007-01-28,Grade 5,339-771-0403
S03788,Justin Williams,2008-08-16,Grade 2,500-253-1661
S03789,Eugene Mcfarland,2016-06-20,Grade 3,283-874-3684
S03790,Amy Allen,2006-12-12,Grade 4,583-249-4437
S03791,John Galvan,2016-12-06,Grade 1,864-273-4995
S03792,Derek Cooper,2010-04-06,Grade 4,202-966-3954
S03793,Eric Elliott,2018-03-28,Grade 5,590-743-0838
S03794,Fred Little,2010-09-10,Grade 4,213-421-0552
S03795,Gary Gibson,2007-07-28,Grade 3,934-965-4672
S03796,Kelly Morales,2014-11-14,Grade 5,082-572-5082
S03797,steven white,2009-02-10,Grade 2,214-579-9441
S03798,crystal nguyen,2014-05-12,Grade 4,369-731-3614
S03799,Lindsey Ward,2008-05-18,Grade 5,963-103-9317
S03800,Monica Doyle,2012-05-21,Grade 3,537-304-9987
S03801,Catherine Cole,2008-09-16,Grade 2,396-926-9046
S03802,Zachary Mitchell,2013-06-16,Grade 4,217-861-4244
S03803,Scott Gray,2016-06-22,Grade 5,821-426-2119
S03804,Kyle Bowen,2010-08-13,Grade 3,366-560-6996
S03805,Zachary Richard,2013-12-23,Grade 2,611-188-2928
S03806,Amanda Cooke,2008-02-26,Grade 3,331-725-6886
S03807,Zachary Moore,2015-07-25,Grade 4,779-259-7734
S03808,Kristi Blackburn,2017-12-24,Grade 5,883-658-2125
S03809,cheryl bradley,2012-12-20,Grade 3,878-917-0146
S03810,Nicole Ayala,2013-06-15,Grade 4,859-202-3578
S03811,Stephen Cruz,2010-06-15,Grade 5,945-382-0864
S03812,john melendez,2017-12-21,Grade 3,360-599-6740
S03813,Lawrence Johnson,2013-07-07,Grade 1,340-422-1470
S03814,Andres Haas PhD,2010-02-19,Grade 4,377-796-0761
S03815,Katie Gonzalez,2015-03-28,Grade 4,341-899-3719
S03816,Douglas Price,2019-01-11,Grade 2,447-955-6203
S03817,Gregg Black,2012-03-15,Grade 3,797-373-1044
S03818,Bobby Ochoa,2013-05-02,Grade 4,121-654-0807
S03819,Stephanie Brown,2010-05-05,Grade 3,240-887-0596
S03820,Alyssa Bennett,2007-09-05,Grade 5,342-654-5190
S03821,Andrew Campbell,2011-08-28,Grade 2,245-527-6782
S03822,Margaret Patel,2012-12-20,Grade 1,416-944-5581
S03823,Michael Cuevas,2009-05-12,Grade 5,unknown
S03824,David Martinez,2013-08-14,Grade 5,559-192-1753
S03825,Michael Meyers,2018-10-04,Grade 3,963-841-8254
S03826,Darin Miles,2012-01-31,Grade 4,483-400-9846
S03827,Heidi White,2009-01-25,Grade 5,513-972-9681
S03828,Daniel Gibson,2019-01-15,Grade 4,878-944-6612
S03829,Jennifer Brown,2015-09-12,Grade 1,703-091-6716
S03830,Diane Douglas,2007-11-06,Grade 2,832-375-2953
S03831,christopher rodriguez,2010-04-20,Grade 4,216-347-6540
S03832,Cheryl Snow,2013-05-22,Grade 3,441-471-4027
S03833,michael mullins,2014-06-24,Grade 1,323-304-7777
S03834,Dennis Williamson,2015-05-30,Grade 5,233-196-0553
S03835,Kristin Jackson,2013-11-29,Grade 5,807-917-5386
S03836,Natalie Hayes,2017-04-25,Grade 5,594-342-4923
S03837,jennifer martinez,2018-02-12,Grade 3,744-017-8046
S03838,joseph suarez,2008-07-24,Grade 1,399-071-3490
S03839,Joshua Martinez,2014-01-27,Grade 4,178-966-1019
S03840,Gabriel Espinoza,2009-06-02,Grade 2,794-519-9408
S03841,Douglas Stewart,2014-04-12,Grade 2,201-416-8014
S03842,Linda Ellis,2007-02-06,Grade 2,180-346-9464
S03843,Ryan Stevens,2010-09-16,Grade 1,551-617-2593
S03844,david thompson jr.,2006-03-11,Grade 5,445-236-2787
S03845,Jennifer Johnson,2016-02-04,Grade 3,677-793-3723
S03846,Elizabeth Dunn,2012-12-19,Grade 1,unknown
S03847,Amanda Leblanc,2017-07-22,Grade 1,745-290-8693
S03848,Robert Tapia,2010-11-09,Grade 3,253-791-4627
S03849,Mr. James Clarke,2009-05-24,Grade 3,798-754-7460
S03850,Monica Wilson,2012-07-17,Grade 1,379-132-3361
S03851,Candice Goodwin,2013-01-15,Grade 3,082-972-4530
S03852,Douglas Richardson,2011-07-15,Grade 2,865-122-1595
S03853,Anthony Edwards,2009-02-05,Grade 2,203-786-0272
S03854,Nancy Watson,2008-09-23,Grade 4,664-073-0899
S03855,Michelle Smith,2008-05-20,Grade 5,845-212-1298
S03856,whitney hughes,2011-10-24,Grade 5,985-919-1043
S03857,David Crawford,2018-07-05,Grade 4,271-680-8401
S03858,Marie Davis,2012-05-25,Grade 3,617-558-7235
S03859,Samantha Terry,2017-07-15,Grade 5,281-565-7799
S03860,Darrell Rivera,2011-05-02,Grade 1,681-901-3220
S03861,Tyrone Gentry,2009-04-12,Grade 1,677-574-0850
S03862,Tyler Moore,2006-12-05,Grade 2,804-339-5107
S03863,Melissa Brown,2012-01-05,Grade 1,288-330-1076
S03864,Angela Shaw,2013-05-31,Grade 1,668-888-7064
S03865,Danielle Williams,2016-06-19,Grade 1,800-565-8420
S03866,Ivan Gibson,2008-12-11,Grade 1,274-605-3733
